X (mm),Y (mm)
1.288,3.36
1.26,3.3040000000000003
1.288,3.3040000000000003
9.828,1.568
9.8,1.596
9.772,1.596
9.772,1.6520000000000001
9.744,1.68
9.744,1.708
9.716000000000001,1.736
9.66,1.68
9.66,1.624
9.632,1.596
9.464,1.596
9.436,1.624
9.436,1.6520000000000001
9.408,1.68
9.408,1.736
9.38,1.764
9.324,1.708
9.324,1.68
9.268,1.624
9.184000000000001,1.624
9.156,1.6520000000000001
9.1,1.6520000000000001
9.1,1.708
9.072000000000001,1.736
9.072000000000001,1.792
9.044,1.82
8.988,1.764
8.988,1.736
8.96,1.708
8.932,1.708
8.904,1.68
8.876,1.708
8.792,1.708
8.764,1.736
8.764,1.764
8.736,1.792
8.736,1.848
8.708,1.8760000000000001
8.596,1.764
8.540000000000001,1.764
8.512,1.792
8.456,1.792
8.428,1.82
8.428,1.932
8.4,1.96
8.372,1.96
8.288,1.8760000000000001
8.204,1.8760000000000001
8.176,1.9040000000000001
8.120000000000001,1.9040000000000001
8.092,1.932
8.092,2.044
8.064,2.072
8.036,2.072
7.98,2.016
7.952,2.016
7.924,1.988
7.896,2.016
7.84,2.016
7.784,2.072
7.784,2.184
7.756,2.212
7.728,2.212
7.672000000000001,2.156
7.644,2.156
7.6160000000000005,2.128
7.588,2.156
7.532,2.156
7.476,2.212
7.476,2.352
7.448,2.38
7.364,2.2960000000000003
7.28,2.2960000000000003
7.252,2.324
7.224,2.324
7.196,2.352
7.196,2.492
7.168,2.52
7.112,2.52
7.0840000000000005,2.492
7.056,2.492
7.0280000000000005,2.464
7.0,2.464
6.944,2.52
6.916,2.52
6.888,2.548
6.888,2.604
6.916,2.632
6.916,2.688
6.888,2.716
6.832,2.716
6.804,2.688
6.776,2.688
6.748,2.66
6.72,2.66
6.636,2.744
6.636,2.912
6.6080000000000005,2.94
6.5520000000000005,2.884
6.44,2.884
6.356,2.968
6.356,3.024
6.384,3.052
6.384,3.136
6.356,3.164
6.328,3.136
6.3,3.136
6.272,3.108
6.216,3.108
